frame,time_s,id,x1,y1,x2,y2,score,label
1,0.03336666666666667,1,136,274,153,292,0.9900000095367432,ball
1,0.03336666666666667,2,105,186,214,304,0.8630797863006592,obj
1,0.03336666666666667,3,70,88,204,596,0.82283616065979,person
1,0.03336666666666667,4,251,66,305,135,0.661139726638794,person
1,0.03336666666666667,5,204,52,252,131,0.6609485149383545,person
1,0.03336666666666667,6,1,30,65,115,0.5851256251335144,person
1,0.03336666666666667,7,155,52,213,128,0.5727735161781311,person
1,0.03336666666666667,8,57,39,120,118,0.49218249320983887,person
1,0.03336666666666667,9,130,57,174,124,0.28732892870903015,person
1,0.03336666666666667,10,342,132,352,138,0.17749999463558197,ball
2,0.06673333333333334,1,136,268,154,286,0.9649999737739563,ball
2,0.06673333333333334,2,105,180,214,301,0.9104208946228027,obj
2,0.06673333333333334,3,70,93,206,599,0.8117899298667908,person
2,0.06673333333333334,4,251,67,305,135,0.6586419939994812,person
2,0.06673333333333334,5,204,52,252,131,0.6591377854347229,person
2,0.06673333333333334,6,2,30,65,115,0.5646195411682129,person
2,0.06673333333333334,7,155,52,213,128,0.5669694542884827,person
2,0.06673333333333334,8,57,39,121,118,0.4774889647960663,person
2,0.06673333333333334,9,130,57,172,124,0.27124089002609253,person
2,0.06673333333333334,10,342,132,352,138,0.17749999463558197,ball
3,0.10010000000000001,1,136,264,154,280,0.9900000095367432,ball
3,0.10010000000000001,2,106,174,215,298,0.8161782026290894,obj
3,0.10010000000000001,3,68,95,207,600,0.8162217736244202,person
3,0.10010000000000001,4,251,67,305,135,0.6541228890419006,person
3,0.10010000000000001,5,204,52,251,131,0.6502333283424377,person
3,0.10010000000000001,6,2,30,65,115,0.5454622507095337,person
3,0.10010000000000001,7,158,52,212,128,0.5400603413581848,person
3,0.10010000000000001,8,57,39,122,118,0.4979243874549866,person
3,0.10010000000000001,9,130,57,178,124,0.31199008226394653,person
3,0.10010000000000001,10,342,132,352,138,0.17749999463558197,ball
3,0.10010000000000001,11,138,262,158,280,0.5462385416030884,ball
4,0.13346666666666668,1,138,260,155,276,0.9850000143051147,ball
4,0.13346666666666668,2,109,171,215,294,0.6565315127372742,obj
4,0.13346666666666668,3,68,96,204,600,0.8079134821891785,person
4,0.13346666666666668,4,251,67,305,135,0.646246075630188,person
4,0.13346666666666668,5,204,53,251,131,0.6416193246841431,person
4,0.13346666666666668,6,2,30,66,115,0.48797714710235596,person
4,0.13346666666666668,7,159,53,212,128,0.5405053496360779,person
4,0.13346666666666668,8,56,39,122,118,0.48702239990234375,person
4,0.13346666666666668,9,130,58,179,124,0.31955862045288086,person
4,0.13346666666666668,10,342,132,352,138,0.17749999463558197,ball
4,0.13346666666666668,11,138,262,158,280,0.5462385416030884,ball
5,0.16683333333333333,1,138,256,155,272,0.9900000095367432,ball
5,0.16683333333333333,2,111,168,201,289,0.5809953808784485,obj
5,0.16683333333333333,3,69,96,202,600,0.81510990858078,person
5,0.16683333333333333,4,252,67,305,135,0.6589827537536621,person
5,0.16683333333333333,5,203,53,251,131,0.6346926093101501,person
5,0.16683333333333333,6,1,31,66,115,0.49652522802352905,person
5,0.16683333333333333,7,160,53,212,128,0.5299801230430603,person
5,0.16683333333333333,8,56,39,122,118,0.4924614429473877,person
5,0.16683333333333333,9,130,58,179,124,0.32730573415756226,person
5,0.16683333333333333,10,342,132,352,138,0.19750000536441803,ball
5,0.16683333333333333,11,138,262,158,280,0.5462385416030884,ball
6,0.20020000000000002,1,138,252,156,268,0.9674999713897705,ball
6,0.20020000000000002,2,110,167,188,290,0.5249231457710266,obj
6,0.20020000000000002,3,69,96,201,600,0.8173918128013611,person
6,0.20020000000000002,4,252,66,305,135,0.6802136301994324,person
6,0.20020000000000002,5,204,53,251,131,0.6477515697479248,person
6,0.20020000000000002,6,1,31,66,115,0.5099320411682129,person
6,0.20020000000000002,7,160,53,212,128,0.5425924062728882,person
6,0.20020000000000002,8,56,39,122,118,0.4858386218547821,person
6,0.20020000000000002,9,129,58,180,125,0.34924566745758057,person
6,0.20020000000000002,10,342,132,352,138,0.19750000536441803,ball
6,0.20020000000000002,11,138,251,160,272,0.760489821434021,ball
7,0.23356666666666667,1,138,248,156,264,0.9674999713897705,ball
7,0.23356666666666667,2,112,158,216,287,0.7716853022575378,obj
7,0.23356666666666667,3,69,96,203,600,0.8074601292610168,person
7,0.23356666666666667,4,251,67,305,135,0.6844691634178162,person
7,0.23356666666666667,5,204,52,252,131,0.64671391248703,person
7,0.23356666666666667,6,1,30,66,115,0.5308103561401367,person
7,0.23356666666666667,7,161,53,212,128,0.5418975949287415,person
7,0.23356666666666667,8,56,39,122,118,0.5030270218849182,person
7,0.23356666666666667,9,129,58,181,125,0.3786829113960266,person
7,0.23356666666666667,10,342,132,352,138,0.19750000536441803,ball
7,0.23356666666666667,11,138,248,160,269,0.760489821434021,ball
8,0.26693333333333336,1,138,246,156,260,0.8924999833106995,ball
8,0.26693333333333336,2,113,153,216,285,0.7279998660087585,obj
8,0.26693333333333336,3,68,96,205,600,0.7956384420394897,person
8,0.26693333333333336,4,251,67,305,135,0.6942360997200012,person
8,0.26693333333333336,5,204,52,252,131,0.6639695167541504,person
8,0.26693333333333336,6,1,30,65,115,0.5459778308868408,person
8,0.26693333333333336,7,161,53,212,128,0.5542653799057007,person
8,0.26693333333333336,8,56,39,121,118,0.5161978602409363,person
8,0.26693333333333336,9,130,58,181,125,0.396093487739563,person
8,0.26693333333333336,10,342,132,352,138,0.19750000536441803,ball
8,0.26693333333333336,11,138,245,161,266,0.760489821434021,ball
9,0.3003,1,140,242,156,258,0.9474999904632568,ball
9,0.3003,2,114,159,186,284,0.6799962520599365,obj
9,0.3003,3,69,93,200,600,0.8090770840644836,person
9,0.3003,4,251,67,305,135,0.6852956414222717,person
9,0.3003,5,204,52,251,131,0.6497310996055603,person
9,0.3003,6,1,30,65,115,0.534338116645813,person
9,0.3003,7,161,53,212,128,0.5433940887451172,person
9,0.3003,8,56,39,121,118,0.5190702676773071,person
9,0.3003,9,130,58,182,125,0.4052864611148834,person
9,0.3003,10,342,132,352,138,0.17749999463558197,ball
9,0.3003,11,139,242,161,263,0.760489821434021,ball
10,0.33366666666666667,1,140,240,158,255,0.9599999785423279,ball
10,0.33366666666666667,2,114,157,185,284,0.6514384150505066,obj
10,0.33366666666666667,3,69,93,200,599,0.8126583099365234,person
10,0.33366666666666667,4,251,67,305,135,0.6738192439079285,person
10,0.33366666666666667,5,204,52,251,131,0.6462079286575317,person
10,0.33366666666666667,6,1,31,65,115,0.5139245986938477,person
10,0.33366666666666667,7,162,53,213,129,0.5212432742118835,person
10,0.33366666666666667,8,56,39,121,118,0.479343444108963,person
10,0.33366666666666667,9,130,58,182,125,0.42059823870658875,person
10,0.33366666666666667,10,342,132,352,138,0.19750000536441803,ball
10,0.33366666666666667,11,139,239,161,260,0.760489821434021,ball
10,0.33366666666666667,12,114,142,216,276,0.44193243980407715,obj
11,0.3670333333333333,1,140,234,158,253,0.9900000095367432,ball
11,0.3670333333333333,2,104,156,182,291,0.580224871635437,obj
11,0.3670333333333333,3,69,93,200,599,0.819732129573822,person
11,0.3670333333333333,4,251,67,305,135,0.6589556932449341,person
11,0.3670333333333333,5,204,52,251,131,0.6475092768669128,person
11,0.3670333333333333,6,1,30,66,115,0.5033112168312073,person
11,0.3670333333333333,7,162,53,212,129,0.4893466830253601,person
11,0.3670333333333333,8,56,39,122,118,0.43433818221092224,person
11,0.3670333333333333,9,130,58,182,125,0.42756861448287964,person
11,0.3670333333333333,10,342,132,352,138,0.19750000536441803,ball
11,0.3670333333333333,11,139,236,161,257,0.760489821434021,ball
11,0.3670333333333333,12,123,142,216,258,0.2994840145111084,obj
12,0.40040000000000003,1,140,234,158,250,0.9225000143051147,ball
12,0.40040000000000003,2,110,154,183,289,0.6394867897033691,obj
12,0.40040000000000003,3,68,94,199,599,0.8116050958633423,person
12,0.40040000000000003,4,251,67,305,136,0.6418873071670532,person
12,0.40040000000000003,5,204,52,251,131,0.6279179453849792,person
12,0.40040000000000003,6,1,30,66,115,0.5232728123664856,person
12,0.40040000000000003,7,163,53,213,129,0.4789596199989319,person
12,0.40040000000000003,8,56,38,122,118,0.45105651021003723,person
12,0.40040000000000003,9,130,58,183,126,0.4457038342952728,person
12,0.40040000000000003,10,342,132,352,138,0.19750000536441803,ball
12,0.40040000000000003,11,139,233,162,255,0.760489821434021,ball
12,0.40040000000000003,12,113,139,216,274,0.2796698212623596,obj
13,0.4337666666666667,1,142,230,158,248,0.8349999785423279,ball
13,0.4337666666666667,2,114,153,181,284,0.41714170575141907,obj
13,0.4337666666666667,3,68,93,203,599,0.8190172910690308,person
13,0.4337666666666667,4,251,67,305,136,0.6415539979934692,person
13,0.4337666666666667,5,204,53,251,131,0.6489089131355286,person
13,0.4337666666666667,6,1,30,66,116,0.5271782279014587,person
13,0.4337666666666667,7,163,53,213,129,0.5217804312705994,person
13,0.4337666666666667,8,56,39,122,119,0.4504910409450531,person
13,0.4337666666666667,9,130,58,184,126,0.4403773546218872,person
13,0.4337666666666667,10,342,132,352,138,0.19750000536441803,ball
13,0.4337666666666667,11,140,230,162,252,0.760489821434021,ball
13,0.4337666666666667,12,114,138,216,277,0.5950085520744324,obj
14,0.46713333333333334,1,142,228,159,246,0.9075000286102295,ball
14,0.46713333333333334,2,116,153,183,278,0.5223604440689087,obj
14,0.46713333333333334,3,69,94,206,601,0.8259463310241699,person
14,0.46713333333333334,4,252,67,305,136,0.6334694027900696,person
14,0.46713333333333334,5,204,52,252,131,0.6445573568344116,person
14,0.46713333333333334,6,1,29,66,116,0.5267543792724609,person
14,0.46713333333333334,7,163,53,213,129,0.5507259964942932,person
14,0.46713333333333334,8,55,39,122,118,0.4442303478717804,person
14,0.46713333333333334,9,131,58,183,125,0.43892931938171387,person
14,0.46713333333333334,10,342,132,352,138,0.19750000536441803,ball
14,0.46713333333333334,11,140,228,162,249,0.760489821434021,ball
14,0.46713333333333334,12,116,137,217,273,0.5648027062416077,obj
14,0.46713333333333334,13,302,40,359,116,0.27253684401512146,person
15,0.5005000000000001,1,142,226,159,244,0.9325000047683716,ball
15,0.5005000000000001,2,107,153,180,283,0.32401686906814575,obj
15,0.5005000000000001,3,68,95,202,602,0.8270301222801208,person
15,0.5005000000000001,4,252,66,305,135,0.6477035284042358,person
15,0.5005000000000001,5,204,52,252,131,0.6469438076019287,person
15,0.5005000000000001,6,1,30,66,116,0.5427922606468201,person
15,0.5005000000000001,7,163,53,214,129,0.5832297205924988,person
15,0.5005000000000001,8,56,39,123,118,0.41896852850914,person
15,0.5005000000000001,9,131,58,183,126,0.45229047536849976,person
15,0.5005000000000001,10,342,132,352,138,0.19750000536441803,ball
15,0.5005000000000001,11,140,225,163,246,0.760489821434021,ball
15,0.5005000000000001,12,116,130,216,274,0.5798099637031555,obj
15,0.5005000000000001,13,303,40,359,116,0.2825380265712738,person
16,0.5338666666666667,1,144,226,160,242,0.8774999976158142,ball
16,0.5338666666666667,2,116,156,185,275,0.4631383419036865,obj
16,0.5338666666666667,3,69,94,201,601,0.8291573524475098,person
16,0.5338666666666667,4,252,66,305,135,0.648583710193634,person
16,0.5338666666666667,5,204,53,252,131,0.6547876000404358,person
16,0.5338666666666667,6,1,30,66,116,0.5471898317337036,person
16,0.5338666666666667,7,163,54,215,129,0.5868746042251587,person
16,0.5338666666666667,8,56,39,122,118,0.44570961594581604,person
16,0.5338666666666667,9,131,58,182,125,0.4313550293445587,person
16,0.5338666666666667,10,342,132,352,138,0.19750000536441803,ball
16,0.5338666666666667,11,141,223,163,240,0.5060611367225647,ball
16,0.5338666666666667,12,117,139,215,267,0.342652291059494,obj
16,0.5338666666666667,13,303,40,359,116,0.27327361702919006,person
17,0.5672333333333334,1,144,224,160,239,0.875,ball
17,0.5672333333333334,2,97,153,183,286,0.2853776216506958,obj
17,0.5672333333333334,3,69,92,202,601,0.8308100700378418,person
17,0.5672333333333334,4,252,67,305,135,0.6422752737998962,person
17,0.5672333333333334,5,204,53,252,131,0.650816798210144,person
17,0.5672333333333334,6,1,29,66,116,0.5421992540359497,person
17,0.5672333333333334,7,163,54,215,129,0.5669015049934387,person
17,0.5672333333333334,8,56,39,123,118,0.4421848654747009,person
17,0.5672333333333334,9,131,58,183,126,0.42237982153892517,person
17,0.5672333333333334,10,342,132,352,138,0.19750000536441803,ball
17,0.5672333333333334,11,141,220,163,237,0.5060611367225647,ball
17,0.5672333333333334,12,118,130,216,272,0.46220722794532776,obj
17,0.5672333333333334,13,303,40,359,116,0.2691606879234314,person
18,0.6006,1,143,222,161,238,0.8500000238418579,ball
18,0.6006,2,118,149,187,273,0.3373807370662689,obj
18,0.6006,3,68,88,207,601,0.8178330063819885,person
18,0.6006,4,252,67,305,135,0.6638167500495911,person
18,0.6006,5,205,53,252,131,0.6573442816734314,person
18,0.6006,6,1,30,66,116,0.5698822140693665,person
18,0.6006,7,163,54,214,129,0.5308994054794312,person
18,0.6006,8,55,40,121,118,0.46585550904273987,person
18,0.6006,9,131,58,183,127,0.42179134488105774,person
18,0.6006,10,342,132,352,138,0.19750000536441803,ball
18,0.6006,11,141,217,163,234,0.5060611367225647,ball
18,0.6006,12,119,125,216,269,0.562741219997406,obj
18,0.6006,13,303,40,359,116,0.2815040051937103,person
19,0.6339666666666667,1,145,220,161,236,0.8399999737739563,ball
19,0.6339666666666667,2,119,158,184,268,0.2993828356266022,obj
